,Children in HHS Care,Net Pressure,Lag_1,Lag_7,Lag_14,Rolling_7,Rolling_14,DayOfWeek
2023-01-26,7538.0,-139.0,7538.0,6566.0,6566.0,7149.0,6857.5,3
2023-01-27,7538.0,-139.0,7538.0,6566.0,6566.0,7287.857142857143,6926.928571428572,4
2023-01-28,7538.0,-139.0,7538.0,6566.0,6566.0,7426.714285714285,6996.357142857143,5
2023-01-29,7472.0,-292.0,7538.0,7122.0,6566.0,7476.714285714285,7061.071428571428,6
2023-01-30,7743.0,-167.0,7472.0,7280.0,6566.0,7542.857142857143,7145.142857142857,0
2023-01-31,7803.0,-122.0,7743.0,7433.0,6566.0,7595.714285714285,7233.5,1
2023-02-01,7903.0,-204.0,7803.0,7538.0,6566.0,7647.857142857143,7329.0,2
2023-02-02,7879.0,-275.0,7903.0,7538.0,6566.0,7696.571428571428,7422.785714285715,3
2023-02-03,7879.0,-275.0,7879.0,7538.0,6566.0,7745.285714285715,7516.571428571428,4
2023-02-04,7879.0,-275.0,7879.0,7538.0,6566.0,7794.0,7610.357142857143,5
2023-02-05,7586.0,-327.0,7879.0,7472.0,7122.0,7810.285714285715,7643.5,6
2023-02-06,7720.0,-184.0,7586.0,7743.0,7280.0,7807.0,7674.928571428572,0
2023-02-07,7855.0,-180.0,7720.0,7803.0,7433.0,7814.428571428572,7705.071428571428,1
2023-02-08,7915.0,-148.0,7855.0,7903.0,7538.0,7816.142857142857,7732.0,2
2023-02-09,7908.0,-192.0,7915.0,7879.0,7538.0,7820.285714285715,7758.428571428572,3
2023-02-10,7908.0,-192.0,7908.0,7879.0,7538.0,7824.428571428572,7784.857142857143,4
2023-02-11,7908.0,-192.0,7908.0,7879.0,7538.0,7828.571428571428,7811.285714285715,5
2023-02-12,7434.0,-144.0,7908.0,7586.0,7472.0,7806.857142857143,7808.571428571428,6
2023-02-13,7483.0,-72.0,7434.0,7720.0,7743.0,7773.0,7790.0,0
2023-02-14,7794.0,-3.0,7483.0,7855.0,7803.0,7764.285714285715,7789.357142857143,1
2023-02-15,7869.0,-118.0,7794.0,7915.0,7903.0,7757.714285714285,7786.928571428572,2
2023-02-16,7793.0,-208.0,7869.0,7908.0,7879.0,7741.285714285715,7780.785714285715,3
2023-02-17,7793.0,-208.0,7793.0,7908.0,7879.0,7724.857142857143,7774.642857142857,4
2023-02-18,7793.0,-208.0,7793.0,7908.0,7879.0,7708.428571428572,7768.5,5
2023-02-19,7793.0,-208.0,7793.0,7434.0,7586.0,7759.714285714285,7783.285714285715,6
2023-02-20,7817.0,-25.0,7793.0,7483.0,7720.0,7807.428571428572,7790.214285714285,0
2023-02-21,7967.0,4.0,7817.0,7794.0,7855.0,7832.142857142857,7798.214285714285,1
2023-02-22,7978.0,-2.0,7967.0,7869.0,7915.0,7847.714285714285,7802.714285714285,2
2023-02-23,7914.0,-208.0,7978.0,7793.0,7908.0,7865.0,7803.142857142857,3
2023-02-24,7914.0,-208.0,7914.0,7793.0,7908.0,7882.285714285715,7803.571428571428,4
2023-02-25,7914.0,-208.0,7914.0,7793.0,7908.0,7899.571428571428,7804.0,5
2023-02-26,7609.0,-147.0,7914.0,7793.0,7434.0,7873.285714285715,7816.5,6
2023-02-27,7800.0,-82.0,7609.0,7817.0,7483.0,7870.857142857143,7839.142857142857,0
2023-02-28,7896.0,-31.0,7800.0,7967.0,7794.0,7860.714285714285,7846.428571428572,1
2023-03-01,7930.0,-114.0,7896.0,7978.0,7869.0,7853.857142857143,7850.785714285715,2
2023-03-02,7870.0,-143.0,7930.0,7914.0,7793.0,7847.571428571428,7856.285714285715,3
2023-03-03,7870.0,-143.0,7870.0,7914.0,7793.0,7841.285714285715,7861.785714285715,4
2023-03-04,7870.0,-143.0,7870.0,7914.0,7793.0,7835.0,7867.285714285715,5
2023-03-05,7870.0,-143.0,7870.0,7609.0,7793.0,7872.285714285715,7872.785714285715,6
2023-03-06,7870.0,-143.0,7870.0,7800.0,7817.0,7882.285714285715,7876.571428571428,0
2023-03-07,7859.0,-99.0,7870.0,7896.0,7967.0,7877.0,7868.857142857143,1
2023-03-08,7885.0,-132.0,7859.0,7930.0,7978.0,7870.571428571428,7862.214285714285,2
2023-03-09,7786.0,-190.0,7885.0,7870.0,7914.0,7858.571428571428,7853.071428571428,3
2023-03-10,7786.0,-190.0,7786.0,7870.0,7914.0,7846.571428571428,7843.928571428572,4
2023-03-11,7786.0,-190.0,7786.0,7870.0,7914.0,7834.571428571428,7834.785714285715,5
2023-03-12,7786.0,-190.0,7786.0,7870.0,7609.0,7822.571428571428,7847.428571428572,6
2023-03-13,7567.0,-43.0,7786.0,7870.0,7800.0,7779.285714285715,7830.785714285715,0
2023-03-14,7810.0,33.0,7567.0,7859.0,7896.0,7772.285714285715,7824.642857142857,1
2023-03-15,7915.0,-73.0,7810.0,7885.0,7930.0,7776.571428571428,7823.571428571428,2
2023-03-16,7989.0,-162.0,7915.0,7786.0,7870.0,7805.571428571428,7832.071428571428,3
2023-03-17,7989.0,-162.0,7989.0,7786.0,7870.0,7834.571428571428,7840.571428571428,4
2023-03-18,7989.0,-162.0,7989.0,7786.0,7870.0,7863.571428571428,7849.071428571428,5
2023-03-19,7885.0,-120.0,7989.0,7786.0,7870.0,7877.714285714285,7850.142857142857,6
2023-03-20,7931.0,-121.0,7885.0,7567.0,7870.0,7929.714285714285,7854.5,0
2023-03-21,8050.0,-28.0,7931.0,7810.0,7859.0,7964.0,7868.142857142857,1
2023-03-22,8097.0,-17.0,8050.0,7915.0,7885.0,7990.0,7883.285714285715,2
2023-03-23,8102.0,-153.0,8097.0,7989.0,7786.0,8006.142857142857,7905.857142857143,3
2023-03-24,8102.0,-153.0,8102.0,7989.0,7786.0,8022.285714285715,7928.428571428572,4
2023-03-25,8102.0,-153.0,8102.0,7989.0,7786.0,8038.428571428572,7951.0,5
2023-03-26,7847.0,-179.0,8102.0,7885.0,7786.0,8033.0,7955.357142857143,6
